task_name,split,lang,subsplit
MIRACLRetrieval,th,th,dev
MIRACLRetrieval,en,en,dev
MIRACLRetrieval,de,de,dev
MIRACLRetrieval,fr,fr,dev
MIRACLRetrieval,es,es,dev
MIRACLRetrieval,ru,ru,dev
MIRACLRetrieval,ja,ja,dev
MIRACLRetrieval,fa,fa,dev
MIRACLRetrieval,ar,ar,dev
MIRACLRetrieval,fi,fi,dev
MIRACLRetrieval,ko,ko,dev
MIRACLRetrieval,id,id,dev
MIRACLRetrieval,te,te,dev
MIRACLRetrieval,hi,hi,dev
MIRACLRetrieval,zh,zh
FEVER,test,en
ClimateFEVER,test,en
HotpotQA,test,en
DBPedia,test,en
NQ,test,en
NeuCLIR2023Retrieval,rus,ru,test
NeuCLIR2022Retrieval,zho,zh,test
NeuCLIR2022Retrieval,rus,ru,test
NeuCLIR2023Retrieval,zho,zh,test
NeuCLIR2022Retrieval,fas,fa,test
NeuCLIR2023Retrieval,fas,fa,test
RiaNewsRetrieval,test,zh
QuoraRetrieval,test,en
TopiOCQA,validation,en
MSMARCO-PL,test,pl
MSMARCO,test,en
