task_name,split
TopiOCQA,validation
MSMARCO-PL,test
ClimateFEVER,test
FEVER,test
HotpotQA,test
HotpotQA-PL,test
DBPedia,test
DBPedia-PL,test
NeuCLIR2022Retrieval,rus
NeuCLIR2023Retrieval,rus
NeuCLIR2022Retrieval,zho
NeuCLIR2023Retrieval,zho
NQ,test
NQ-PL,test
NeuCLIR2022Retrieval,fas
NeuCLIR2023Retrieval,fas
Ko-miracl,dev
RiaNewsRetrieval,test
Quora-PL,test
QuoraRetrieval,test
RARbMath,test
Touche2020,test
RARbCode,test
AlphaNLI,test
XMarket,en
MultiLongDocRetrieval,en
MultiLongDocRetrieval,zh
MultiLongDocRetrieval,en
MultiLongDocRetrieval,zh
HellaSwag,test
TRECCOVID,test
TRECCOVID-PL,test
GerDaLIR,test
T2Retrieval,dev
MMarcoRetrieval,dev
MedicalRetrieval,dev
VideoRetrieval,dev
EcomRetrieval,dev
CmedqaRetrieval,dev
DuRetrieval,dev
